model,graph,n_train,model_seed,test_acc_a
M0,real,20000,0,0.5244
M0,real,20000,1,0.4864
M0,real,20000,2,0.5
M1,real,100,0,0.4432
M1,real,100,1,0.2
M1,real,100,2,0.4416
M1,real,500,0,0.4682
M1,real,500,1,0.4564
M1,real,500,2,0.4684
M1,real,1000,0,0.486
M1,real,1000,1,0.4872
M1,real,1000,2,0.484
M1,real,5000,0,0.719
M1,real,5000,1,0.7246
M1,real,5000,2,0.7252
M1,real,5000,0,0.5102
M1,real,5000,1,0.5118
M1,real,5000,2,0.5138
M1,real,10000,0,0.7524
M1,real,10000,1,0.75
M1,real,10000,2,0.7574
M1,real,20000,0,0.7676
M1,real,20000,1,0.7606
M1,real,20000,2,0.773
M1,real,20000,3,0.7622
M1,real,20000,4,0.7756
M1,real,20000,5,0.7672
M1,real,20000,6,0.7838
M1,real,20000,7,0.7812
M1,real,20000,8,0.764
M1,real,20000,9,0.7748
M1,real,20000,0,0.67
M1,real,20000,1,0.6834
M1,real,20000,2,0.6742
M1,real,20000,0,0.6696
M1,real,20000,1,0.6598
M1,real,20000,2,0.6666
M1,real,20000,0,0.6376
M1,real,20000,0,0.7684
M1,real,20000,1,0.7616
M1,real,20000,2,0.7768
M1,shuffled,100,0,0.4694
M1,shuffled,100,1,0.2
M1,shuffled,100,2,0.4742
M1,shuffled,500,0,0.4766
M1,shuffled,500,1,0.4784
M1,shuffled,500,2,0.484
M1,shuffled,1000,0,0.4828
M1,shuffled,1000,1,0.4844
M1,shuffled,1000,2,0.4824
M1,shuffled,5000,0,0.5862
M1,shuffled,5000,1,0.5866
M1,shuffled,5000,2,0.598
M1,shuffled,5000,0,0.5148
M1,shuffled,5000,1,0.5084
M1,shuffled,5000,2,0.5134
M1,shuffled,10000,0,0.6402
M1,shuffled,10000,1,0.6408
M1,shuffled,10000,2,0.65
M1,shuffled,20000,3,0.6706
M1,shuffled,20000,4,0.6706
M1,shuffled,20000,5,0.6644
M1,shuffled,20000,6,0.658
M1,shuffled,20000,7,0.665
M1,shuffled,20000,8,0.6672
M1,shuffled,20000,9,0.6606
M1,shuffled,20000,0,0.6362
M1,shuffled,20000,1,0.6226
M1,shuffled,20000,2,0.6382
M1,shuffled,20000,0,0.705
M1,shuffled,20000,1,0.6998
M1,shuffled,20000,2,0.7
M1,shuffled,20000,0,0.658
M1,shuffled,20000,1,0.661
M1,shuffled,20000,2,0.665
