acc_real,acc_shuffled,gap,ci_low,ci_high,p_gap_le_zero,n,model,circuit,n_train,model_seed,real_run,shuffled_run,condition
0.7622,0.6706,0.09160000000000001,0.08040000000000003,0.10319999999999996,0.0,5000,M1,core,20000,3,7_rep_real_s3,7_rep_shuffled_s3,A
0.7756,0.6706,0.10499999999999998,0.09340000000000004,0.11719999999999997,0.0,5000,M1,core,20000,4,7_rep_real_s4,7_rep_shuffled_s4,A
0.7672,0.6644,0.1028,0.09139999999999993,0.11499999999999999,0.0,5000,M1,core,20000,5,7_rep_real_s5,7_rep_shuffled_s5,A
0.7838,0.658,0.12580000000000002,0.11340000000000006,0.138005,0.0,5000,M1,core,20000,6,7_rep_real_s6,7_rep_shuffled_s6,A
0.7812,0.665,0.11619999999999997,0.10440000000000005,0.127805,0.0,5000,M1,core,20000,7,7_rep_real_s7,7_rep_shuffled_s7,A
0.764,0.6672,0.0968,0.08520000000000005,0.1087999999999999,0.0,5000,M1,core,20000,8,7_rep_real_s8,7_rep_shuffled_s8,A
0.7748,0.6606,0.11420000000000008,0.10219999999999996,0.12659999999999993,0.0,5000,M1,core,20000,9,7_rep_real_s9,7_rep_shuffled_s9,A
0.4874,0.4906,-0.0031999999999999806,-0.012405000000000022,0.006400000000000017,0.7505,5000,M1,full,5000,0,full_real_N5000,full_shuffled_N5000,A
0.486,0.4828,0.0031999999999999806,-0.007399999999999964,0.014000000000000012,0.2775,5000,M1,core,1000,0,s2_count_M1_core_real_N1000_m0_sh0_cdd14e0abe,s2_count_M1_core_shuffled_N1000_m0_sh0_1753315835,A
0.4872,0.4844,0.0028000000000000247,-0.006199999999999983,0.011200000000000043,0.2735,5000,M1,core,1000,1,s2_count_M1_core_real_N1000_m1_sh0_c057bc923f,s2_count_M1_core_shuffled_N1000_m1_sh1_84e10f686e,A
0.484,0.4824,0.0015999999999999903,-0.007604999999999995,0.01119999999999999,0.376,5000,M1,core,1000,2,s2_count_M1_core_real_N1000_m2_sh0_56df2ffb38,s2_count_M1_core_shuffled_N1000_m2_sh2_74212964b0,A
0.4432,0.4694,-0.0262,-0.03800500000000003,-0.01479999999999998,1.0,5000,M1,core,100,0,s2_count_M1_core_real_N100_m0_sh0_a8d0f9bf63,s2_count_M1_core_shuffled_N100_m0_sh0_5513d4f064,A
0.2,0.2,0.0,0.0,0.0,1.0,5000,M1,core,100,1,s2_count_M1_core_real_N100_m1_sh0_0355550699,s2_count_M1_core_shuffled_N100_m1_sh1_33b9efa425,A
0.4416,0.4742,-0.03260000000000002,-0.04560500000000003,-0.020199999999999996,1.0,5000,M1,core,100,2,s2_count_M1_core_real_N100_m2_sh0_12d74600e8,s2_count_M1_core_shuffled_N100_m2_sh2_378dbcd5b8,A
0.7684,0.705,0.06340000000000001,0.05280000000000007,0.0746,0.0,5000,M1,core,20000,0,s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46,7d_spec_1.4106_shuffled_s0,A
0.7616,0.6998,0.06180000000000008,0.050799999999999956,0.0726,0.0,5000,M1,core,20000,1,s2_count_M1_core_real_N20000_m1_sh0_cc44762d6a,7d_spec_1.4106_shuffled_s1,A
0.7768,0.7,0.07680000000000009,0.06559999999999999,0.08780499999999997,0.0,5000,M1,core,20000,2,s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab,7d_spec_1.4106_shuffled_s2,A
0.5102,0.5148,-0.0046000000000000485,-0.014000000000000012,0.0048000000000000265,0.826,5000,M1,core,5000,0,s2_count_M1_core_real_N5000_m0_sh0_febe51d9f2,s2_count_M1_core_shuffled_N5000_m0_sh0_288aaa6fd5,A
0.5118,0.5084,0.0034000000000000696,-0.00520500000000009,0.01220499999999996,0.2155,5000,M1,core,5000,1,s2_count_M1_core_real_N5000_m1_sh0_e80a0be927,s2_count_M1_core_shuffled_N5000_m1_sh1_3477931500,A
0.5138,0.5134,0.00040000000000006697,-0.007000000000000006,0.007405000000000043,0.461,5000,M1,core,5000,2,s2_count_M1_core_real_N5000_m2_sh0_9ac98a3999,s2_count_M1_core_shuffled_N5000_m2_sh2_ec99b0c174,A
0.4682,0.4766,-0.008400000000000019,-0.016400000000000026,-0.0008000000000000215,0.9855,5000,M1,core,500,0,s2_count_M1_core_real_N500_m0_sh0_7b01866af7,s2_count_M1_core_shuffled_N500_m0_sh0_155a89c924,A
0.4564,0.4784,-0.02200000000000002,-0.031200000000000006,-0.012799999999999978,1.0,5000,M1,core,500,1,s2_count_M1_core_real_N500_m1_sh0_5eb6d23a12,s2_count_M1_core_shuffled_N500_m1_sh1_1e4cbe0e8e,A
0.4684,0.484,-0.015600000000000003,-0.02479999999999999,-0.006599999999999995,1.0,5000,M1,core,500,2,s2_count_M1_core_real_N500_m2_sh0_c49abd81ab,s2_count_M1_core_shuffled_N500_m2_sh2_ce2b02264d,A
