10:08:44 | INFO    | flynum.run.countA01_src | run countA01_src started -> /root/autodl-tmp/fly/runs/countA01_src
10:08:44 | INFO    | flynum.run.countA01_src | ==============================================================================
10:08:44 | INFO    | flynum.run.countA01_src | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=0 shuffle_seed=0
10:08:44 | INFO    | flynum.run.countA01_src | ==============================================================================
10:08:44 | INFO    | flynum.run.countA01_src | ------------------------------------------------------------------------------
10:08:44 | INFO    | flynum.run.countA01_src | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
10:08:45 | INFO    | flynum.run.countA01_src | circuit core loaded from cache: 33480 neurons / 1170024 edges
10:08:45 | INFO    | flynum.run.countA01_src | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
10:08:45 | INFO    | flynum.run.countA01_src | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
10:08:45 | INFO    | flynum.run.countA01_src | readout: visual_projection (VPN) -> 9200 neurons
10:08:45 | INFO    | flynum.run.countA01_src | count stimuli loaded from cache (20000 pool images)
10:08:47 | INFO    | flynum.run.countA01_src | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
10:08:47 | INFO    | flynum.run.countA01_src | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
10:08:47 | INFO    | flynum.run.countA01_src | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
10:08:47 | INFO    | flynum.run.countA01_src | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
10:08:47 | INFO    | flynum.run.countA01_src | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.10 steps=8
10:08:47 | INFO    | flynum.run.countA01_src | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
10:08:47 | INFO    | flynum.run.countA01_src | readout standardisation disabled
10:09:03 | INFO    | flynum.run.countA01_src |   epoch   0 | loss 1.5035 | train 0.3602 | val 0.4548 | 15.5s
10:09:19 | INFO    | flynum.run.countA01_src |   epoch   1 | loss 1.1463 | train 0.4712 | val 0.4872 | 15.4s
10:09:34 | INFO    | flynum.run.countA01_src |   epoch   2 | loss 1.0923 | train 0.4838 | val 0.4836 | 15.4s
10:09:50 | INFO    | flynum.run.countA01_src |   epoch   3 | loss 1.0713 | train 0.4961 | val 0.5008 | 15.4s
10:10:05 | INFO    | flynum.run.countA01_src |   epoch   4 | loss 1.0603 | train 0.5007 | val 0.4900 | 15.4s
10:10:21 | INFO    | flynum.run.countA01_src |   epoch   5 | loss 1.0491 | train 0.5068 | val 0.5044 | 15.4s
10:10:36 | INFO    | flynum.run.countA01_src |   epoch   6 | loss 1.0445 | train 0.5084 | val 0.4908 | 15.4s
10:10:51 | INFO    | flynum.run.countA01_src |   epoch   7 | loss 1.0378 | train 0.5112 | val 0.5160 | 15.4s
10:11:07 | INFO    | flynum.run.countA01_src |   epoch   8 | loss 1.0393 | train 0.5065 | val 0.5028 | 15.4s
10:11:22 | INFO    | flynum.run.countA01_src |   epoch   9 | loss 1.0332 | train 0.5141 | val 0.5256 | 15.4s
10:11:38 | INFO    | flynum.run.countA01_src |   epoch  10 | loss 1.0289 | train 0.5117 | val 0.4900 | 15.4s
10:11:53 | INFO    | flynum.run.countA01_src |   epoch  11 | loss 1.0264 | train 0.5167 | val 0.5216 | 15.4s
10:12:09 | INFO    | flynum.run.countA01_src |   epoch  12 | loss 1.0241 | train 0.5161 | val 0.5144 | 15.4s
10:12:24 | INFO    | flynum.run.countA01_src |   epoch  13 | loss 1.0203 | train 0.5238 | val 0.5196 | 15.4s
10:12:39 | INFO    | flynum.run.countA01_src |   epoch  14 | loss 1.0148 | train 0.5219 | val 0.5224 | 15.4s
10:12:55 | INFO    | flynum.run.countA01_src |   epoch  15 | loss 1.0151 | train 0.5210 | val 0.5348 | 15.4s
10:13:10 | INFO    | flynum.run.countA01_src |   epoch  16 | loss 1.0124 | train 0.5271 | val 0.5184 | 15.4s
10:13:26 | INFO    | flynum.run.countA01_src |   epoch  17 | loss 1.0072 | train 0.5305 | val 0.5416 | 15.4s
10:13:41 | INFO    | flynum.run.countA01_src |   epoch  18 | loss 0.9996 | train 0.5310 | val 0.5396 | 15.4s
10:13:57 | INFO    | flynum.run.countA01_src |   epoch  19 | loss 0.9960 | train 0.5346 | val 0.5336 | 15.4s
10:14:12 | INFO    | flynum.run.countA01_src |   epoch  20 | loss 0.9890 | train 0.5390 | val 0.5404 | 15.4s
10:14:27 | INFO    | flynum.run.countA01_src |   epoch  21 | loss 0.9846 | train 0.5386 | val 0.5260 | 15.4s
10:14:43 | INFO    | flynum.run.countA01_src |   epoch  22 | loss 0.9758 | train 0.5444 | val 0.5464 | 15.4s
10:14:58 | INFO    | flynum.run.countA01_src |   epoch  23 | loss 0.9695 | train 0.5516 | val 0.5396 | 15.4s
10:15:14 | INFO    | flynum.run.countA01_src |   epoch  24 | loss 0.9613 | train 0.5528 | val 0.5488 | 15.4s
10:15:29 | INFO    | flynum.run.countA01_src |   epoch  25 | loss 0.9556 | train 0.5553 | val 0.5552 | 15.4s
10:15:45 | INFO    | flynum.run.countA01_src |   epoch  26 | loss 0.9461 | train 0.5622 | val 0.5548 | 15.4s
