08:35:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | run s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 started -> I:\2026.9.14\9.15果蝇识字\runs\s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46
08:35:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | ==============================================================================
08:35:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=0 shuffle_seed=0
08:35:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | ==============================================================================
08:35:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | ------------------------------------------------------------------------------
08:35:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
08:35:52 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | circuit core loaded from cache: 33480 neurons / 1170024 edges
08:35:52 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
08:35:52 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
08:35:53 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | readout: visual_projection (VPN) -> 9200 neurons
08:35:53 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | count stimuli loaded from cache (20000 pool images)
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
08:35:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | readout standardisation disabled
08:36:29 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   0 | loss 1.6516 | train 0.4125 | val 0.4852 | 29.5s
08:36:58 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   1 | loss 1.0830 | train 0.4859 | val 0.4992 | 29.3s
08:37:27 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   2 | loss 1.0648 | train 0.4976 | val 0.4820 | 29.4s
08:37:57 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   3 | loss 1.0519 | train 0.5000 | val 0.5132 | 29.1s
08:38:26 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   4 | loss 1.0449 | train 0.5085 | val 0.5000 | 29.2s
08:38:55 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   5 | loss 1.0360 | train 0.5133 | val 0.5036 | 29.2s
08:39:24 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   6 | loss 1.0302 | train 0.5120 | val 0.4968 | 29.2s
08:39:53 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   7 | loss 1.0238 | train 0.5187 | val 0.5308 | 29.1s
08:40:23 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   8 | loss 1.0228 | train 0.5142 | val 0.5244 | 29.2s
08:40:52 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch   9 | loss 1.0132 | train 0.5217 | val 0.5424 | 29.3s
08:41:21 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  10 | loss 0.9984 | train 0.5303 | val 0.5228 | 29.2s
08:41:51 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  11 | loss 0.9860 | train 0.5402 | val 0.5556 | 29.2s
08:42:20 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  12 | loss 0.9684 | train 0.5465 | val 0.5668 | 29.2s
08:42:49 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  13 | loss 0.9442 | train 0.5635 | val 0.5696 | 29.0s
08:43:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  14 | loss 0.9187 | train 0.5766 | val 0.5820 | 29.1s
08:43:47 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  15 | loss 0.8968 | train 0.5885 | val 0.6116 | 29.1s
08:44:17 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  16 | loss 0.8745 | train 0.6042 | val 0.5964 | 29.2s
08:44:46 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  17 | loss 0.8421 | train 0.6277 | val 0.6288 | 29.0s
08:45:15 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  18 | loss 0.8175 | train 0.6399 | val 0.6436 | 29.1s
08:45:44 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  19 | loss 0.7981 | train 0.6505 | val 0.6512 | 29.1s
08:46:13 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  20 | loss 0.7757 | train 0.6653 | val 0.6656 | 29.0s
08:46:42 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  21 | loss 0.7570 | train 0.6762 | val 0.5724 | 29.1s
08:47:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  22 | loss 0.7409 | train 0.6859 | val 0.6764 | 29.1s
08:47:41 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  23 | loss 0.7265 | train 0.6875 | val 0.6928 | 29.1s
08:48:10 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  24 | loss 0.7076 | train 0.7040 | val 0.6728 | 29.2s
08:48:39 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  25 | loss 0.6978 | train 0.7056 | val 0.6864 | 29.1s
08:49:08 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  26 | loss 0.6882 | train 0.7150 | val 0.6948 | 29.3s
08:49:38 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  27 | loss 0.6786 | train 0.7183 | val 0.6896 | 29.3s
08:50:07 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  28 | loss 0.6671 | train 0.7266 | val 0.6724 | 29.2s
08:50:36 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  29 | loss 0.6580 | train 0.7309 | val 0.7120 | 29.1s
08:51:06 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  30 | loss 0.6486 | train 0.7342 | val 0.7236 | 29.2s
08:51:35 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  31 | loss 0.6400 | train 0.7387 | val 0.6660 | 29.0s
08:52:04 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  32 | loss 0.6322 | train 0.7483 | val 0.7196 | 29.0s
08:52:33 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  33 | loss 0.6288 | train 0.7461 | val 0.7236 | 29.2s
08:53:02 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  34 | loss 0.6207 | train 0.7514 | val 0.7272 | 29.2s
08:53:31 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  35 | loss 0.6155 | train 0.7563 | val 0.7332 | 29.2s
08:54:01 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  36 | loss 0.6111 | train 0.7560 | val 0.7032 | 29.1s
08:54:30 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  37 | loss 0.6064 | train 0.7600 | val 0.7340 | 29.2s
08:54:59 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  38 | loss 0.5989 | train 0.7645 | val 0.7360 | 29.1s
08:55:29 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  39 | loss 0.5948 | train 0.7635 | val 0.7544 | 29.4s
08:55:58 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  40 | loss 0.5889 | train 0.7695 | val 0.7212 | 29.1s
08:56:27 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  41 | loss 0.5850 | train 0.7712 | val 0.7436 | 29.1s
08:56:56 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  42 | loss 0.5825 | train 0.7738 | val 0.7468 | 29.1s
08:57:26 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  43 | loss 0.5801 | train 0.7736 | val 0.7376 | 29.4s
08:57:55 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  44 | loss 0.5759 | train 0.7786 | val 0.7360 | 29.2s
08:58:24 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  45 | loss 0.5731 | train 0.7806 | val 0.7568 | 28.7s
08:58:52 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  46 | loss 0.5718 | train 0.7792 | val 0.7460 | 28.7s
08:59:21 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  47 | loss 0.5695 | train 0.7805 | val 0.7616 | 28.4s
08:59:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  48 | loss 0.5670 | train 0.7824 | val 0.7536 | 28.6s
09:00:16 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  49 | loss 0.5648 | train 0.7836 | val 0.7528 | 26.0s
09:00:41 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  50 | loss 0.5623 | train 0.7854 | val 0.7516 | 25.5s
09:01:07 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  51 | loss 0.5621 | train 0.7863 | val 0.7568 | 25.4s
09:01:32 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  52 | loss 0.5599 | train 0.7852 | val 0.7500 | 25.4s
09:01:58 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  53 | loss 0.5585 | train 0.7877 | val 0.7620 | 25.5s
09:02:23 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  54 | loss 0.5574 | train 0.7871 | val 0.7520 | 25.4s
09:02:49 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  55 | loss 0.5566 | train 0.7871 | val 0.7564 | 25.6s
09:03:14 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  56 | loss 0.5560 | train 0.7887 | val 0.7576 | 25.5s
09:03:40 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  57 | loss 0.5554 | train 0.7885 | val 0.7568 | 25.4s
09:04:06 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  58 | loss 0.5551 | train 0.7883 | val 0.7560 | 25.8s
09:04:31 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   epoch  59 | loss 0.5548 | train 0.7881 | val 0.7560 | 25.7s
09:04:31 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | ------------------------------------------------------------------------------
09:04:32 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   test A: acc 0.7684 (chance 0.20) | macro-F1 0.7642 | per-class 1.00 0.85 0.67 0.57 0.76
09:04:33 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   test B: acc 0.6078 (chance 0.20) | macro-F1 0.5678 | per-class 1.00 0.90 0.64 0.34 0.15
09:04:33 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   test C: acc 0.9032 (chance 0.20) | macro-F1 0.9000 | per-class 1.00 1.00 0.98 0.94 0.60
09:04:34 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 |   test D: acc 0.6054 (chance 0.20) | macro-F1 0.5784 | per-class 0.99 0.82 0.60 0.38 0.23
09:04:34 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 | run s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46 finished: ok (1724.3s)
