04:29:09 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | run s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab started -> I:\2026.9.14\9.15果蝇识字\runs\s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab
04:29:09 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | ==============================================================================
04:29:09 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=2 shuffle_seed=0
04:29:09 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | ==============================================================================
04:29:09 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | ------------------------------------------------------------------------------
04:29:09 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
04:29:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | circuit core loaded from cache: 33480 neurons / 1170024 edges
04:29:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
04:29:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
04:29:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | readout: visual_projection (VPN) -> 9200 neurons
04:29:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | count stimuli loaded from cache (20000 pool images)
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
04:29:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | readout standardisation disabled
04:29:47 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   0 | loss 1.6281 | train 0.4124 | val 0.4808 | 28.6s
04:30:15 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   1 | loss 1.0815 | train 0.4864 | val 0.4980 | 28.1s
04:30:43 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   2 | loss 1.0609 | train 0.4954 | val 0.4944 | 28.2s
04:31:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   3 | loss 1.0520 | train 0.5035 | val 0.4948 | 28.3s
04:31:40 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   4 | loss 1.0410 | train 0.5091 | val 0.5164 | 28.3s
04:32:08 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   5 | loss 1.0414 | train 0.5084 | val 0.5132 | 28.3s
04:32:37 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   6 | loss 1.0295 | train 0.5144 | val 0.5212 | 28.3s
04:33:05 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   7 | loss 1.0241 | train 0.5200 | val 0.5200 | 28.3s
04:33:33 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   8 | loss 1.0142 | train 0.5231 | val 0.5284 | 28.3s
04:34:02 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch   9 | loss 1.0086 | train 0.5265 | val 0.5236 | 28.3s
04:34:30 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  10 | loss 0.9978 | train 0.5320 | val 0.5368 | 28.3s
04:34:58 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  11 | loss 0.9746 | train 0.5429 | val 0.5624 | 28.3s
04:35:27 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  12 | loss 0.9586 | train 0.5508 | val 0.5744 | 28.3s
04:35:55 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  13 | loss 0.9332 | train 0.5686 | val 0.5452 | 28.3s
04:36:24 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  14 | loss 0.9081 | train 0.5873 | val 0.6032 | 28.3s
04:36:52 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  15 | loss 0.8845 | train 0.5991 | val 0.6092 | 28.3s
04:37:20 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  16 | loss 0.8542 | train 0.6187 | val 0.5952 | 28.4s
04:37:49 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  17 | loss 0.8261 | train 0.6356 | val 0.6236 | 28.3s
04:38:17 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  18 | loss 0.8025 | train 0.6486 | val 0.6524 | 28.4s
04:38:46 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  19 | loss 0.7840 | train 0.6590 | val 0.6448 | 28.3s
04:39:14 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  20 | loss 0.7573 | train 0.6750 | val 0.6784 | 28.3s
04:39:42 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  21 | loss 0.7424 | train 0.6855 | val 0.6784 | 28.3s
04:40:11 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  22 | loss 0.7245 | train 0.6940 | val 0.6852 | 28.3s
