01:43:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | run s2_count_M1_core_real_N500_m2_sh0_c49abd81ab started -> I:\2026.9.14\9.15果蝇识字\runs\s2_count_M1_core_real_N500_m2_sh0_c49abd81ab
01:43:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | ==============================================================================
01:43:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | COUNT RUN | model=M1 graph=real circuit=core N=500 model_seed=2 shuffle_seed=0
01:43:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | ==============================================================================
01:43:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | ------------------------------------------------------------------------------
01:43:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
01:43:58 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | circuit core loaded from cache: 33480 neurons / 1170024 edges
01:43:58 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
01:43:58 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
01:43:58 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | readout: visual_projection (VPN) -> 9200 neurons
01:43:58 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | count stimuli loaded from cache (20000 pool images)
01:44:03 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
01:44:03 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
01:44:03 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
01:44:03 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
01:44:04 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
01:44:04 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | training set: 500 images (class counts [100, 100, 100, 100, 100])
01:44:04 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab | readout standardisation disabled
01:44:05 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   0 | loss 10.1815 | train 0.2140 | val 0.2000 | 1.3s
01:44:06 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   1 | loss 4.6499 | train 0.2040 | val 0.2000 | 1.0s
01:44:07 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   2 | loss 3.1259 | train 0.2080 | val 0.2000 | 1.0s
01:44:08 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   3 | loss 2.1216 | train 0.2160 | val 0.2000 | 1.0s
01:44:09 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   4 | loss 1.8360 | train 0.2040 | val 0.2000 | 1.0s
01:44:10 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   5 | loss 1.5984 | train 0.2400 | val 0.3128 | 1.0s
01:44:11 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   6 | loss 1.5330 | train 0.4100 | val 0.3180 | 1.0s
01:44:12 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   7 | loss 1.4869 | train 0.3500 | val 0.4164 | 1.0s
01:44:13 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   8 | loss 1.4334 | train 0.4040 | val 0.3612 | 1.0s
01:44:15 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch   9 | loss 1.3918 | train 0.3960 | val 0.3656 | 1.1s
01:44:16 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  10 | loss 1.3356 | train 0.4420 | val 0.4276 | 1.1s
01:44:17 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  11 | loss 1.2941 | train 0.4280 | val 0.4372 | 1.1s
01:44:18 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  12 | loss 1.2528 | train 0.4620 | val 0.4292 | 1.1s
01:44:19 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  13 | loss 1.2301 | train 0.4600 | val 0.4184 | 1.1s
01:44:20 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  14 | loss 1.2264 | train 0.4300 | val 0.4028 | 1.1s
01:44:21 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  15 | loss 1.1875 | train 0.5040 | val 0.4520 | 1.1s
01:44:23 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  16 | loss 1.1569 | train 0.5000 | val 0.4384 | 1.1s
01:44:24 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  17 | loss 1.1404 | train 0.4980 | val 0.4496 | 1.1s
01:44:25 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  18 | loss 1.1157 | train 0.5160 | val 0.4536 | 1.1s
01:44:26 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  19 | loss 1.1281 | train 0.5040 | val 0.4416 | 1.1s
